93,ALLSEC,420,432.75,420,428.75,432.75,429.7,3231,1382251.35,146
94,ALMONDZ,85.25,87.6,85.15,85.8,87.6,86.55,850,73068,69
95,ALOKINDS,21.35,21.35,20.4,20.7,20.85,21.1,1205332,25003514.1,2914
96,ALPA,60.8,61.25,60.15,60.6,60.8,60.8,15128,917942.55,217
97,ALPHAGEO,276.05,278.4,271.45,275.85,274,273.5,3949,1083507.3,324
98,ALPSINDUS,2.5,2.5,2.5,2.5,2.5,2.4,4972,12430,10
99,AMARAJABAT,468.6,470.7,465.5,468.25,467.35,465.75,175751,82177277.7,6685
100,AMBER,2379,2388.75,2353,2381.9,2378.75,2353,18971,45004431.55,3220
101,AMBICAAGAR,23.55,23.55,22.8,22.9,23.2,23.25,3750,86447.4,78
102,AMBIKCO,1635,1651.45,1591,1615.4,1606.75,1607.3,6625,10708936.35,1548
103,AMBUJACEM,368,371.3,368,369.15,369.25,369.9,3856534,1425541430,45648
104,AMDIND,47.9,47.9,45,46.35,46.75,47.1,54450,2520219.8,839
105,AMIORG,1044.95,1051.9,1023.35,1027.95,1026,1044,31199,32143243.5,3589
106,AMJLAND,25.4,26.35,25.4,25.6,25.9,25.7,8656,222081.3,117
107,AMRUTANJAN,775.25,778.45,768,772.55,774.95,771.35,5827,4503782.55,1245
108,ANANDRATHI,653,655.65,636.5,638.3,640,649.45,33234,21390017.7,1621
109,ANANTRAJ,60.2,61.2,59,60.65,60.8,59.7,482937,29047443.85,5190
110,ANDHRACEMT,7.55,7.55,7.5,7.55,7.55,7.2,447993,3381582.45,416
111,ANDHRAPAP,324.45,326,314.15,318.35,318,321.25,17888,5689933.55,1351
112,ANDHRSUGAR,128,128.45,125,126.5,126.5,127.65,107128,13563885.1,2517
113,ANDREWYU,21.15,21.15,20.05,20.75,20.75,20.85,99394,2043561.1,668
114,ANGELONE,1278.55,1308.35,1260.2,1283,1291.5,1312.15,809858,1038526925,28925
115,ANIKINDS,29.35,29.55,28.3,28.9,29.45,29.35,36741,1071333.05,540
116,ANKITMETAL,6.85,6.85,6.5,6.7,6.7,6.75,53206,355811.95,264
117,ANMOL,159.7,164,148.15,155.75,157,159.9,12697,1955369.7,522
118,ANSALAPI,17.3,19.1,17.3,19.1,19.1,18.2,1349390,24183482.95,1765
119,ANSALHSG,6.8,6.95,6.55,6.9,6.9,6.8,309471,2072735.7,437
120,ANTGRAPHIC,1,1,0.95,1,1,1,306372,296296.15,193
121,ANUP,757.15,815,757.15,807,809,757.25,26164,20799651.4,3153
122,ANURAS,741,748.9,725,733.15,729.45,741.2,170495,125535814.8,9271
123,APARINDS,938,1010,933.05,1001.85,1009,930.9,479384,471582438.2,25795
124,APCL,193,194.95,190,192.7,194.8,192.5,5253,1012641.45,298
125,APCOTEXIND,539.05,544.2,521.1,527.25,527.8,535.55,156663,82919208.35,8881
126,APEX,285.45,294.8,282.55,291.6,288.65,283.45,31954,9227524.4,1785
127,APLAPOLLO,862.9,876.4,858.2,869.7,868.75,861.1,84651,73460443.05,5004
128,APLLTD,711,712,700,703.3,704.9,710.55,41392,29159662.15,3220
129,APOLLO,129.6,131.55,129,129.6,130.15,129.55,21032,2729203.95,689
130,APOLLOHOSP,3898.05,3944,3875,3931.7,3930,3898.05,318645,1247757075,22201
131,APOLLOPIPE,466,470.95,460.2,468.35,463.05,465.25,13988,6516128.3,1576
132,APOLLOTYRE,207.95,211.85,207,211.15,211,206.65,2534663,532567633,26060
133,APOLSINHOT,614.3,622,613,621.95,621.9,622,40,24539.2,9
134,APTECHT,226,227,219.8,223.85,223.5,225.4,98146,21880823.45,3876
135,APTUS,280.6,282.6,258,264.1,264.3,280.6,346757,91948418.5,14924
136,ARCHIDPLY,54.85,56.25,50.5,52.6,52.2,54.55,60087,3159360.15,1016
137,ARCHIES,15.35,15.65,15.35,15.55,15.65,15.55,14013,217864.85,128
138,ARENTERP,41.15,41.15,40,41.15,41.15,37.45,9455,388704.85,109
139,ARIES,120,121.4,118.05,119.45,120.25,119.15,15871,1894492.95,1487
140,ARIHANTCAP,75.45,77.95,74.15,74.85,74.75,77.45,139532,10568576.2,1042
141,ARIHANTSUP,138.45,140.15,135.4,138.45,137,137,83452,11469807.6,1188
142,ARMANFIN,1248,1299,1248,1279.7,1282,1240.3,21842,27878526.35,3837
143,AROGRANITE,44.1,44.1,42.3,43.3,43.7,43.35,8319,360457.5,183
144,ARROWGREEN,76,79.85,74.95,78.4,79.7,75.6,22868,1759725.5,593
145,ARSHIYA,12.55,12.55,11.85,11.9,11.85,12.45,1204922,14494775.2,1599
146,ARSSINFRA,21.8,22.3,21.1,21.35,21.3,21.8,1349,29102.95,29
147,ARTEMISMED,46.2,47.3,45.6,45.85,45.6,46.7,76454,3530407.05,964
148,ARTNIRMAN,76.3,83.35,76.3,76.4,80,80.3,2003,154762,82
149,ARVEE,81.35,81.35,81.2,81.35,81.35,81.35,236,19195.6,4
150,ARVIND,87.3,87.45,86.05,86.4,86.55,86.9,211333,18289875.6,2728
151,ARVINDFASN,284.2,288.95,282.05,283.85,284.85,283.8,51582,14728026.3,2787
152,ARVSMART,156.45,161.4,156.45,159.65,160.9,158.5,16970,2710518,380
153,ASAHIINDIA,554.5,574,552.5,568.7,571.35,550.75,235200,132548591.3,13163
154,ASAHISONG,291.65,291.65,285.35,287.6,285.35,287.4,4851,1398561.1,269
155,ASAL,453,475,453,470.9,472,463.9,17001,7970945.35,1033
156,ASALCBR,430,433.35,424,428.15,426,429.1,12088,5178007,1015
157,ASHAPURMIN,108.3,109.9,107.05,108.35,107.5,107.8,42144,4582126.75,1552
158,ASHIANA,138.5,142.7,133.55,140.4,142.3,138.2,23015,3150246.9,774
159,ASHIMASYN,13.45,13.45,12.7,12.8,12.7,13.35,27060,352241.05,210
160,ASHOKA,75.1,75.1,73.5,74.4,74.5,74.55,207932,15451864.1,2508
161,ASHOKLEY,141.75,145.4,141.7,144.95,145.1,141.7,9289935,1337223976,43561
162,ASIANENE,88.5,88.5,87.15,87.45,87.15,87.15,8893,779476.6,197
163,ASIANHOTNR,79.45,81.9,78.35,80,80.95,80.35,8567,687571.05,185
164,ASIANPAINT,2949.95,2985,2940.45,2978.15,2978.4,2939.15,1668006,4954296635,49293
165,ASIANTILES,41.6,41.6,40.75,41.2,41.2,41.15,226613,9312981.75,1566
166,ASPINWALL,171.1,171.1,166.5,169.25,169,168,883,150060.8,64
167,ASTEC,2070,2081,2011,2034.15,2025,2062.8,14370,29381968.3,2398
168,ASTERDM,200,216,199.3,213.45,215,198.85,3246638,678745105.9,32815
169,ASTRAL,1775,1793.05,1759.2,1787.55,1789.4,1764.3,134074,237949497.8,12348
170,ASTRAMICRO,211.2,216,211.2,214.8,215,210.7,110879,23744851.3,2453
171,ASTRAZEN,2982.6,2995.35,2949.25,2981.4,2980,2982.6,4623,13727825.6,1040
172,ASTRON,39.25,39.35,38.05,38.4,38.5,39.3,25936,999531.85,336
173,ATALREAL,153,157.25,153,157.1,157,155.45,6400,998800,3
174,ATFL,866.7,866.7,855.95,858.4,858,862.4,459,394235.3,72
175,ATGL,2800,2847.65,2731.05,2807.7,2810,2764.85,572560,1594836202,37666
176,ATLANTA,14.9,16.3,14.65,14.85,14.9,14.9,13739,206233.95,130
177,ATUL,8276.2,8370,8251.35,8351.2,8364,8249.35,16714,139103806.6,2418
178,ATULAUTO,171,173.5,170.1,171.8,171.9,170.15,23327,4007467.35,885
179,AUBANK,555,558.95,539,550.15,551,554.5,2026203,1105795114,42162
180,AURIONPRO,264,267.05,261.1,264,262.5,264.1,15948,4211962.1,1267
181,AUROPHARMA,550.05,557.8,545.7,548.75,548.7,552.7,772648,426502165.1,30260
